Ten Fold with Depth 4, initial sobolIdx 1, delay 0.
  7, 14949, 0.057, 245.224
  8, 17037, 0.062, 253.741
  9, 18878, 0.044, 225.445
 10,   379, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 7, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   810, 1.000, 256.000
  1,  3025, 0.795, 256.000
  2,  5081, 0.554, 256.000
  3,  6606, 0.334, 256.000
  4,  8954, 0.148, 255.214
  5, 11315, 0.075, 255.629
  6, 12878, 0.140, 256.000
  7, 14847, 0.126, 252.781
  8, 17169, 0.071, 250.362
  9, 18918, 0.036, 181.623
 10,   397, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 8, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   758, 1.000, 256.000
  1,  3119, 0.673, 256.000
  2,  5119, 0.472, 256.000
  3,  6590, 0.296, 256.000
  4,  8919, 0.164, 255.473
  5, 11276, 0.050, 254.532
  6, 12958, 0.172, 256.000
  7, 14873, 0.132, 256.000
  8, 17257, 0.046, 238.069
  9, 18754, 0.039, 187.208
 10,   377, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 9, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   801, 0.746, 256.000
  1,  3128, 0.572, 256.000
  2,  5058, 0.532, 256.000
  3,  6639, 0.340, 256.000
  4,  8984, 0.143, 254.455
  5, 11297, 0.109, 255.459
  6, 12922, 0.293, 256.000
  7, 14977, 0.296, 256.000
  8, 17077, 0.146, 256.000
  9, 18727, 0.036, 221.487
 10,   390, 0.000, 256.000

Ten Fold with Depth 2, initial sobolIdx 10, delay 1.
Value range index, Freq, Final Error, LowErrLen:
  0,   811, 0.739, 256.000
  1,  3019, 0.555, 256.000
  2,  5139, 0.398, 256.000
  3,  6714, 0.237, 256.000
  4,  8874, 0.086, 247.162
  5, 11379, 0.035, 233.231
  6, 12953, 0.080, 245.406
  7, 14676, 0.041, 191.538
  8, 17182, 0.054, 240.752
  9, 18854, 0.021, 206.664
 10,   399, 0.000, 256.000
